ID Log,ID Motor,Status,SP Frequencia,Feed Corrente,Feed Tensão Entrada,Timestamp,anomalia
1233,1,1.0,72.0,4.9,378.87323,2024-06-07 22:40:09.860151,1
1234,2,1.0,68.0,7.9,385.915497,2024-06-07 22:40:09.860151,1
1235,3,1.0,60.0,8.18064,382.893866,2024-06-07 22:40:09.860151,1
1236,1,1.0,72.0,4.9,100.0,2024-06-07 22:41:14.867711,1
1237,2,1.0,68.0,7.9,385.211273,2024-06-07 22:41:14.867711,1
