pk_TimeStamp,Vazão m3/h,SP_Velocidade,feed_velocidade,feed_corrente,feed_tensão,SP_Velocidade_BA03,feed_velocidade_BA03,feed_corrente_BA03,feed_tensão_BA03,SP_Velocidade_BA04,feed_velocidade_BA04,feed_corrente_BA04,feed_tensão_BA04,BA01_status,BA03_status,BA04_status
2024-05-16 13:00:00.002570,22.14118194580078,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,378.16900634765625,60.0,61.0,8.20334529876709,0.3225837051868438,1.0,1.0,1.0
2024-05-16 13:00:00.002581,22.122386932373047,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.20334529876709,0.3225837051868438,1.0,1.0,1.0
2024-05-16 13:00:00.002593,22.07025718688965,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,378.16900634765625,60.0,61.0,8.160204887390137,0.3235293328762054,1.0,1.0,1.0
2024-05-16 13:00:00.002604,22.06147575378418,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.160204887390137,0.3235293328762054,1.0,1.0,1.0
2024-05-16 13:00:00.002616,22.14959716796875,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,7.9,378.8732299804688,60.0,61.0,8.160204887390137,0.3235293328762054,1.0,1.0,1.0
2024-05-16 13:00:00.002627,22.12335205078125,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.113659858703613,0.323486328125,1.0,1.0,1.0
2024-05-16 13:00:00.002639,22.040264129638672,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,378.16900634765625,60.0,61.0,8.11138916015625,0.3233574032783508,1.0,1.0,1.0
2024-05-16 13:00:00.002650,22.070068359375,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,378.8732299804688,60.0,61.0,8.11138916015625,0.3233574032783508,1.0,1.0,1.0
2024-05-16 13:00:00.002662,22.06993293762207,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,7.9,378.8732299804688,60.0,61.0,8.11138916015625,0.3233574032783508,1.0,1.0,1.0
2024-05-16 13:00:00.002674,22.04948616027832,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.143176078796387,0.3240451216697693,1.0,1.0,1.0
2024-05-16 13:00:00.002685,22.036657333374023,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.143176078796387,0.3240451216697693,1.0,1.0,1.0
2024-05-16 13:00:00.002697,22.05277442932129,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,376.7605590820313,60.0,61.0,8.143176078796387,0.3240451216697693,1.0,1.0,1.0
2024-05-16 13:00:00.002708,22.034881591796875,72.0,71.90185546875,4.8,366.1971740722656,68.0,67.90283203125,7.9,375.3521118164063,60.0,61.0,8.14658260345459,0.3233574032783508,1.0,1.0,1.0
2024-05-16 13:00:00.002720,22.03587913513184,72.0,71.90185546875,4.8,366.1971740722656,68.0,67.90283203125,7.9,376.7605590820313,60.0,61.0,8.14658260345459,0.3233574032783508,1.0,1.0,1.0
2024-05-16 13:00:00.002731,22.06767463684082,72.0,71.90185546875,4.8,366.9013977050781,68.0,67.90283203125,7.9,375.3521118164063,60.0,61.0,8.14658260345459,0.3233574032783508,1.0,1.0,1.0
2024-05-16 13:00:00.002743,22.06188201904297,72.0,71.90185546875,4.8,369.01409912109375,68.0,67.90283203125,7.9,376.0563354492188,60.0,61.0,8.15679931640625,0.3233574032783508,1.0,1.0,1.0
2024-05-16 13:00:00.002755,22.057212829589844,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,8.0,376.7605590820313,60.0,61.0,8.15679931640625,0.3233574032783508,1.0,1.0,1.0
2024-05-16 13:00:00.002766,22.077268600463867,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.15679931640625,0.3233574032783508,1.0,1.0,1.0
2024-05-16 13:00:00.002778,22.03873062133789,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,376.0563354492188,60.0,61.0,8.15679931640625,0.3233574032783508,1.0,1.0,1.0
2024-05-16 13:00:00.002789,22.02799797058105,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,8.0,376.7605590820313,60.0,61.0,8.16928768157959,0.3233143985271454,1.0,1.0,1.0
2024-05-16 13:00:00.002800,22.07284545898437,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,375.3521118164063,60.0,61.0,8.16928768157959,0.3233143985271454,1.0,1.0,1.0
2024-05-16 13:00:00.002801,22.07672691345215,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,375.3521118164063,60.0,61.0,8.16928768157959,0.3233143985271454,1.0,1.0,1.0
2024-05-16 13:00:00.002812,22.077083587646484,72.0,71.90185546875,4.8,366.1971740722656,68.0,67.90283203125,7.9,376.0563354492188,60.0,61.0,8.16928768157959,0.3233143985271454,1.0,1.0,1.0
2024-05-16 13:00:00.002824,22.087236404418945,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,7.9,376.0563354492188,60.0,61.0,8.238537788391113,0.3231424689292907,1.0,1.0,1.0
