ID Log,ID Motor,Status,SP Frequencia,Feed Corrente,Feed Tensão Entrada,Timestamp,anomaly
1213,1,1.0,72.0,4.9,378.8732299804688,2024-06-07 22:40:09.860151,1
1214,2,1.0,68.0,7.9,385.9154968261719,2024-06-07 22:40:09.860151,1
1215,3,1.0,60.0,8.18064022064209,382.8938598632813,2024-06-07 22:40:09.860151,1
1219,1,1.0,72.0,4.9,378.16900634765625,2024-06-07 22:41:14.867711,1
1220,2,1.0,68.0,7.9,385.2112731933594,2024-06-07 22:41:14.867711,1
1221,3,1.0,60.0,8.228320121765137,383.4364013671875,2024-06-07 22:41:14.867711,1
1225,1,1.0,72.0,4.9,378.8732299804688,2024-06-07 22:42:19.865008,1
1226,2,1.0,68.0,7.9,386.6197204589844,2024-06-07 22:42:19.865008,1
1227,3,1.0,60.0,8.11138916015625,381.4019165039063,2024-06-07 22:42:19.865008,1
1231,1,1.0,72.0,4.9,378.8732299804688,2024-06-07 22:43:24.862464,1
1232,2,1.0,68.0,7.8,385.2112731933594,2024-06-07 22:43:24.862464,1
1233,3,1.0,60.0,8.178369522094727,383.8433227539063,2024-06-07 22:43:24.862464,1
1237,1,1.0,72.0,4.9,378.16900634765625,2024-06-07 22:44:29.866993,1
1238,2,1.0,68.0,7.9,385.9154968261719,2024-06-07 22:44:29.866993,1
15,1,1.0,60.0,9.2,380.0,2024-06-06 12:00:00.000000,1
16,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 19:56:14.191140,1
17,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 19:56:14.191140,1
18,3,1.0,60.0,8.194262504577637,388.18359375,2024-06-07 19:56:14.191140,1
19,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 19:56:14.487027,1
20,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 19:56:14.487027,1
21,3,1.0,60.0,8.194262504577637,388.18359375,2024-06-07 19:56:14.487027,1
22,1,1.0,72.0,4.9,385.9154968261719,2024-06-07 19:56:36.426548,1
23,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 19:56:36.426548,1
24,3,1.0,60.0,8.182909965515137,388.4548645019531,2024-06-07 19:56:36.426548,1
25,1,1.0,72.0,4.9,385.2112731933594,2024-06-07 19:56:56.824992,1
26,2,1.0,68.0,7.8,390.1408386230469,2024-06-07 19:56:56.824992,1
27,3,1.0,60.0,8.182909965515137,386.6463928222656,2024-06-07 19:56:56.824992,1
28,1,1.0,72.0,4.9,385.9154968261719,2024-06-07 19:59:26.252518,1
29,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 19:59:26.252518,1
30,3,1.0,60.0,8.073925971984863,387.27935791015625,2024-06-07 19:59:26.252518,1
31,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 19:59:36.109672,1
32,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 19:59:36.109672,1
33,3,1.0,60.0,8.211291313171387,388.4096374511719,2024-06-07 19:59:36.109672,1
34,1,1.0,72.0,4.9,385.9154968261719,2024-06-07 19:59:46.111308,1
35,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 19:59:46.111308,1
36,3,1.0,60.0,8.210156440734863,388.0027465820313,2024-06-07 19:59:46.111308,1
37,1,1.0,72.0,4.9,385.9154968261719,2024-06-07 19:59:56.208180,1
38,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 19:59:56.208180,1
39,3,1.0,60.0,8.16928768157959,387.3245849609375,2024-06-07 19:59:56.208180,1
40,1,1.0,72.0,4.9,385.2112731933594,2024-06-07 20:00:06.109183,1
41,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:00:06.109183,1
42,3,1.0,60.0,8.199938774108887,387.8670959472656,2024-06-07 20:00:06.109183,1
43,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:00:16.108512,1
44,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:00:16.108512,1
45,3,1.0,60.0,8.1624755859375,388.86175537109375,2024-06-07 20:00:16.108512,1
46,1,1.0,72.0,4.9,385.9154968261719,2024-06-07 20:00:26.108198,1
47,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:00:26.108198,1
48,3,1.0,60.0,8.143176078796387,388.0479431152344,2024-06-07 20:00:26.108198,1
49,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:00:36.209030,1
50,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:00:36.209030,1
51,3,1.0,60.0,8.176098823547363,388.9973754882813,2024-06-07 20:00:36.209030,1
52,1,1.0,72.0,4.9,385.2112731933594,2024-06-07 20:00:46.108978,1
53,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:00:46.108978,1
54,3,1.0,60.0,8.170422554016113,388.8165588378906,2024-06-07 20:00:46.108978,1
55,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:00:56.108405,1
56,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:00:56.108405,1
57,3,1.0,60.0,8.19199275970459,389.3590698242188,2024-06-07 20:00:56.108405,1
58,1,1.0,72.0,4.9,385.9154968261719,2024-06-07 20:01:06.149182,1
59,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:01:06.149182,1
60,3,1.0,60.0,8.196533203125,387.8670959472656,2024-06-07 20:01:06.149182,1
61,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:01:16.114591,1
62,2,1.0,68.0,7.8,392.2535095214844,2024-06-07 20:01:16.114591,1
63,3,1.0,60.0,8.15225887298584,388.2740173339844,2024-06-07 20:01:16.114591,1
64,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:01:26.107376,1
65,2,1.0,68.0,7.8,392.2535095214844,2024-06-07 20:01:26.107376,1
66,3,1.0,60.0,8.19199275970459,389.1330261230469,2024-06-07 20:01:26.107376,1
67,1,1.0,72.0,4.9,385.9154968261719,2024-06-07 20:01:36.107572,1
68,2,1.0,68.0,7.8,392.2535095214844,2024-06-07 20:01:36.107572,1
69,3,1.0,60.0,8.172693252563477,388.50006103515625,2024-06-07 20:01:36.107572,1
70,1,1.0,72.0,4.9,388.7323913574219,2024-06-07 20:01:46.107666,1
71,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:01:46.107666,1
72,3,1.0,60.0,8.18631649017334,388.4548645019531,2024-06-07 20:01:46.107666,1
73,1,1.0,72.0,4.9,389.4366149902344,2024-06-07 20:01:56.107970,1
74,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:01:56.107970,1
75,3,1.0,60.0,8.204480171203613,388.0479431152344,2024-06-07 20:01:56.107970,1
76,1,1.0,72.0,4.9,388.0281677246094,2024-06-07 20:02:06.108274,1
77,2,1.0,68.0,7.8,392.2535095214844,2024-06-07 20:02:06.108274,1
78,3,1.0,60.0,8.07279109954834,387.8670959472656,2024-06-07 20:02:06.108274,1
79,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:02:16.107866,1
80,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:02:16.107866,1
81,3,1.0,60.0,8.08981990814209,387.5054321289063,2024-06-07 20:02:16.107866,1
82,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:02:26.107428,1
83,2,1.0,68.0,7.8,390.1408386230469,2024-06-07 20:02:26.107428,1
84,3,1.0,60.0,8.159070014953613,388.0027465820313,2024-06-07 20:02:26.107428,1
85,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:02:36.107734,1
86,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:02:36.107734,1
87,3,1.0,60.0,8.194262504577637,388.5904846191406,2024-06-07 20:02:36.107734,1
88,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:02:46.106347,1
89,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:02:46.106347,1
90,3,1.0,60.0,8.193127632141113,387.6862487792969,2024-06-07 20:02:46.106347,1
91,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:02:56.206977,1
92,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:02:56.206977,1
93,3,1.0,60.0,8.196533203125,387.8670959472656,2024-06-07 20:02:56.206977,1
94,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:03:06.107564,1
95,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:03:06.107564,1
96,3,1.0,60.0,8.201074600219727,387.4150085449219,2024-06-07 20:03:06.107564,1
97,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:03:16.106621,1
98,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:03:16.106621,1
99,3,1.0,60.0,8.173828125,388.3192138671875,2024-06-07 20:03:16.106621,1
100,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:03:26.107351,1
101,2,1.0,68.0,7.8,390.1408386230469,2024-06-07 20:03:26.107351,1
102,3,1.0,60.0,8.14544677734375,386.5559692382813,2024-06-07 20:03:26.107351,1
103,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:03:36.108758,1
104,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:03:36.108758,1
105,3,1.0,60.0,8.08868408203125,386.1943054199219,2024-06-07 20:03:36.108758,1
106,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:03:46.107229,1
107,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:03:46.107229,1
108,3,1.0,60.0,8.182909965515137,387.64105224609375,2024-06-07 20:03:46.107229,1
109,1,1.0,72.0,4.9,384.5070495605469,2024-06-07 20:03:56.106217,1
110,2,1.0,68.0,7.8,388.7323913574219,2024-06-07 20:03:56.106217,1
111,3,1.0,60.0,8.21356201171875,386.7820434570313,2024-06-07 20:03:56.106217,1
112,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:04:06.106317,1
113,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:04:06.106317,1
114,3,1.0,60.0,8.07279109954834,387.27935791015625,2024-06-07 20:04:06.106317,1
115,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:04:16.106992,1
116,2,1.0,68.0,7.8,390.1408386230469,2024-06-07 20:04:16.106992,1
117,3,1.0,60.0,8.167016983032227,387.3697814941406,2024-06-07 20:04:16.106992,1
118,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:04:26.106867,1
119,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:04:26.106867,1
120,3,1.0,60.0,8.20220947265625,387.5506286621094,2024-06-07 20:04:26.106867,1
121,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:04:36.206395,1
122,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:04:36.206395,1
123,3,1.0,60.0,8.20902156829834,387.7314758300781,2024-06-07 20:04:36.206395,1
124,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:04:46.105173,1
125,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:04:46.105173,1
126,3,1.0,60.0,8.189722061157227,387.5958557128906,2024-06-07 20:04:46.105173,1
127,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:04:56.106322,1
128,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:04:56.106322,1
129,3,1.0,60.0,8.18064022064209,388.1383666992188,2024-06-07 20:04:56.106322,1
130,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:05:06.106112,1
131,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:05:06.106112,1
132,3,1.0,60.0,8.18064022064209,387.64105224609375,2024-06-07 20:05:06.106112,1
133,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:05:16.105590,1
134,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:05:16.105590,1
135,3,1.0,60.0,8.215832710266113,387.0985107421875,2024-06-07 20:05:16.105590,1
136,1,1.0,72.0,4.9,385.9154968261719,2024-06-07 20:05:26.106050,1
137,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:05:26.106050,1
138,3,1.0,60.0,8.21356201171875,386.962890625,2024-06-07 20:05:26.106050,1
139,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:05:36.106291,1
140,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:05:36.106291,1
141,3,1.0,60.0,8.13409423828125,387.3245849609375,2024-06-07 20:05:36.106291,1
142,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:05:46.105846,1
143,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:05:46.105846,1
144,3,1.0,60.0,8.167016983032227,388.18359375,2024-06-07 20:05:46.105846,1
145,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:05:56.105998,1
146,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:05:56.105998,1
147,3,1.0,60.0,8.07846736907959,388.8165588378906,2024-06-07 20:05:56.105998,1
148,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:06:06.103980,1
149,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:06:06.103980,1
150,3,1.0,60.0,8.211291313171387,388.3644409179688,2024-06-07 20:06:06.103980,1
151,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:06:16.104508,1
152,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:06:16.104508,1
153,3,1.0,60.0,8.154528617858887,388.50006103515625,2024-06-07 20:06:16.104508,1
154,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:06:26.104716,1
155,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:06:26.104716,1
156,3,1.0,60.0,8.188586235046387,388.2740173339844,2024-06-07 20:06:26.104716,1
157,1,1.0,72.0,4.9,388.0281677246094,2024-06-07 20:06:36.106113,1
158,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:06:36.106113,1
159,3,1.0,60.0,8.177233695983887,389.5399169921875,2024-06-07 20:06:36.106113,1
160,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:06:46.104509,1
161,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:06:46.104509,1
162,3,1.0,60.0,8.085278511047363,388.9973754882813,2024-06-07 20:06:46.104509,1
163,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:06:56.104238,1
164,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:06:56.104238,1
165,3,1.0,60.0,8.155664443969727,388.2740173339844,2024-06-07 20:06:56.104238,1
166,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:07:06.104579,1
167,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:07:06.104579,1
168,3,1.0,60.0,8.15793514251709,389.7659912109375,2024-06-07 20:07:06.104579,1
169,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:07:16.104099,1
170,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:07:16.104099,1
171,3,1.0,60.0,8.15793514251709,389.7659912109375,2024-06-07 20:07:16.104099,1
172,1,1.0,72.0,4.9,388.0281677246094,2024-06-07 20:07:26.105331,1
173,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:07:26.105331,1
174,3,1.0,60.0,8.15793514251709,389.7659912109375,2024-06-07 20:07:26.105331,1
175,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:07:36.103753,1
176,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:07:36.103753,1
177,3,1.0,60.0,8.15793514251709,389.7659912109375,2024-06-07 20:07:36.103753,1
178,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:07:46.104098,1
179,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:07:46.104098,1
180,3,1.0,60.0,8.15793514251709,389.7659912109375,2024-06-07 20:07:46.104098,1
181,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:07:56.104436,1
182,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:07:56.104436,1
183,3,1.0,60.0,8.15793514251709,389.7659912109375,2024-06-07 20:07:56.104436,1
184,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:08:06.103468,1
185,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:08:06.103468,1
186,3,1.0,60.0,8.15793514251709,389.7659912109375,2024-06-07 20:08:06.103468,1
187,1,1.0,72.0,4.9,386.6197204589844,2024-06-07 20:08:16.203192,1
188,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:08:16.203192,1
189,3,1.0,60.0,8.15793514251709,389.7659912109375,2024-06-07 20:08:16.203192,1
190,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:08:26.103656,1
191,2,1.0,68.0,7.8,390.8450622558594,2024-06-07 20:08:26.103656,1
192,3,1.0,60.0,8.15793514251709,389.7659912109375,2024-06-07 20:08:26.103656,1
193,1,1.0,72.0,4.9,385.9154968261719,2024-06-07 20:08:36.102851,1
194,2,1.0,68.0,7.8,390.1408386230469,2024-06-07 20:08:36.102851,1
195,3,1.0,60.0,8.15793514251709,389.7659912109375,2024-06-07 20:08:36.102851,1
196,1,1.0,72.0,4.9,387.3239440917969,2024-06-07 20:08:46.103123,1
197,2,1.0,68.0,7.8,391.5492858886719,2024-06-07 20:08:46.103123,1
